,flow,speed,time
0,46.0,85.0,2021-02-06 00:15:00
1,52.0,81.0,2021-02-06 00:30:00
2,31.0,85.0,2021-02-06 00:45:00
3,25.0,82.0,2021-02-06 01:00:00
4,12.0,80.0,2021-02-06 01:15:00
5,21.0,80.0,2021-02-06 01:30:00
6,31.0,81.0,2021-02-06 01:45:00
7,20.0,79.0,2021-02-06 02:00:00
8,20.0,80.0,2021-02-06 02:15:00
9,17.0,76.0,2021-02-06 02:30:00
10,27.0,80.0,2021-02-06 02:45:00
11,47.0,81.0,2021-02-06 03:00:00
12,32.0,82.0,2021-02-06 03:15:00
13,29.0,83.0,2021-02-06 03:30:00
14,25.0,79.0,2021-02-06 03:45:00
15,30.0,85.0,2021-02-06 04:00:00
16,27.0,78.0,2021-02-06 04:15:00
17,29.0,80.0,2021-02-06 04:30:00
18,27.0,79.0,2021-02-06 04:45:00
19,24.0,79.0,2021-02-06 05:00:00
20,30.0,83.0,2021-02-06 05:15:00
21,41.0,79.0,2021-02-06 05:30:00
22,49.0,82.0,2021-02-06 05:45:00
23,50.0,81.0,2021-02-06 06:00:00
24,62.0,77.0,2021-02-06 06:15:00
25,44.0,74.0,2021-02-06 06:30:00
26,34.0,76.0,2021-02-06 06:45:00
27,74.0,81.0,2021-02-06 07:00:00
28,72.0,81.0,2021-02-06 07:15:00
29,83.0,82.0,2021-02-06 07:30:00
30,76.0,82.0,2021-02-06 07:45:00
31,76.0,82.0,2021-02-06 08:00:00
32,92.0,80.0,2021-02-06 08:15:00
33,106.0,80.0,2021-02-06 08:30:00
34,116.0,85.0,2021-02-06 08:45:00
35,112.0,85.0,2021-02-06 09:00:00
36,91.0,83.0,2021-02-06 09:15:00
37,127.0,84.0,2021-02-06 09:30:00
38,104.0,81.0,2021-02-06 09:45:00
39,143.0,84.0,2021-02-06 10:00:00
40,117.0,83.0,2021-02-06 10:15:00
41,126.0,83.0,2021-02-06 10:30:00
42,136.0,84.0,2021-02-06 10:45:00
43,135.0,85.0,2021-02-06 11:00:00
44,142.0,85.0,2021-02-06 11:15:00
45,149.0,84.0,2021-02-06 11:30:00
46,126.0,84.0,2021-02-06 11:45:00
47,96.0,80.0,2021-02-06 12:00:00
48,150.0,87.0,2021-02-06 12:15:00
49,176.0,86.0,2021-02-06 12:30:00
50,146.0,84.0,2021-02-06 12:45:00
51,138.0,84.0,2021-02-06 13:00:00
52,143.0,86.0,2021-02-06 13:15:00
53,150.0,87.0,2021-02-06 13:30:00
54,149.0,89.0,2021-02-06 13:45:00
55,141.0,88.0,2021-02-06 14:00:00
56,104.0,85.0,2021-02-06 14:15:00
57,102.0,84.0,2021-02-06 14:30:00
58,129.0,88.0,2021-02-06 14:45:00
59,120.0,88.0,2021-02-06 15:00:00
60,121.0,86.0,2021-02-06 15:15:00
61,116.0,87.0,2021-02-06 15:30:00
62,109.0,89.0,2021-02-06 15:45:00
63,126.0,86.0,2021-02-06 16:00:00
64,94.0,84.0,2021-02-06 16:15:00
65,115.0,89.0,2021-02-06 16:30:00
66,93.0,86.0,2021-02-06 16:45:00
67,110.0,85.0,2021-02-06 17:00:00
68,92.0,84.0,2021-02-06 17:15:00
69,112.0,83.0,2021-02-06 17:30:00
70,95.0,82.0,2021-02-06 17:45:00
71,92.0,83.0,2021-02-06 18:00:00
72,81.0,81.0,2021-02-06 18:15:00
73,85.0,80.0,2021-02-06 18:30:00
74,82.0,78.0,2021-02-06 18:45:00
75,58.0,82.0,2021-02-06 19:00:00
76,91.0,82.0,2021-02-06 19:15:00
77,77.0,82.0,2021-02-06 19:30:00
78,72.0,79.0,2021-02-06 19:45:00
79,77.0,79.0,2021-02-06 20:00:00
80,57.0,82.0,2021-02-06 20:15:00
81,59.0,83.0,2021-02-06 20:30:00
82,58.0,85.0,2021-02-06 20:45:00
83,78.0,80.0,2021-02-06 21:00:00
84,70.0,83.0,2021-02-06 21:15:00
85,63.0,78.0,2021-02-06 21:30:00
86,76.0,78.0,2021-02-06 21:45:00
87,62.0,79.0,2021-02-06 22:00:00
88,63.0,81.0,2021-02-06 22:15:00
89,54.0,79.0,2021-02-06 22:30:00
90,66.0,81.0,2021-02-06 22:45:00
91,59.0,82.0,2021-02-06 23:00:00
92,44.0,77.0,2021-02-06 23:15:00
93,45.0,77.0,2021-02-06 23:30:00
94,34.0,75.0,2021-02-06 23:45:00
95,40.0,83.0,2021-02-07 00:00:00
96,47.0,82.0,2021-02-07 00:15:00
97,32.0,87.0,2021-02-07 00:30:00
98,32.0,87.0,2021-02-07 00:45:00
99,30.0,84.0,2021-02-07 01:00:00
100,39.0,81.0,2021-02-07 01:15:00
101,45.0,81.0,2021-02-07 01:30:00
102,28.0,82.0,2021-02-07 01:45:00
103,29.0,78.0,2021-02-07 02:00:00
104,27.0,83.0,2021-02-07 02:15:00
105,28.0,86.0,2021-02-07 02:30:00
106,18.0,84.0,2021-02-07 02:45:00
107,24.0,83.0,2021-02-07 03:00:00
108,20.0,82.0,2021-02-07 03:15:00
109,20.0,84.0,2021-02-07 03:30:00
110,35.0,86.0,2021-02-07 03:45:00
111,32.0,88.0,2021-02-07 04:00:00
112,26.0,85.0,2021-02-07 04:15:00
113,25.0,85.0,2021-02-07 04:30:00
114,23.0,83.0,2021-02-07 04:45:00
115,27.0,84.0,2021-02-07 05:00:00
116,26.0,84.0,2021-02-07 05:15:00
117,38.0,84.0,2021-02-07 05:30:00
118,36.0,82.0,2021-02-07 05:45:00
119,44.0,82.0,2021-02-07 06:00:00
120,50.0,79.0,2021-02-07 06:15:00
121,41.0,78.0,2021-02-07 06:30:00
122,45.0,85.0,2021-02-07 06:45:00
123,43.0,85.0,2021-02-07 07:00:00
124,42.0,87.0,2021-02-07 07:15:00
125,45.0,88.0,2021-02-07 07:30:00
126,67.0,82.0,2021-02-07 07:45:00
127,75.0,83.0,2021-02-07 08:00:00
128,90.0,84.0,2021-02-07 08:15:00
129,100.0,84.0,2021-02-07 08:30:00
130,81.0,86.0,2021-02-07 08:45:00
131,102.0,86.0,2021-02-07 09:00:00
132,82.0,89.0,2021-02-07 09:15:00
133,87.0,89.0,2021-02-07 09:30:00
134,126.0,88.0,2021-02-07 09:45:00
135,111.0,90.0,2021-02-07 10:00:00
136,123.0,88.0,2021-02-07 10:15:00
137,98.0,89.0,2021-02-07 10:30:00
138,124.0,90.0,2021-02-07 10:45:00
139,162.0,89.0,2021-02-07 11:00:00
140,141.0,88.0,2021-02-07 11:15:00
141,113.0,87.0,2021-02-07 11:30:00
142,114.0,87.0,2021-02-07 11:45:00
143,131.0,84.0,2021-02-07 12:00:00
144,126.0,89.0,2021-02-07 12:15:00
145,142.0,90.0,2021-02-07 12:30:00
146,143.0,90.0,2021-02-07 12:45:00
147,133.0,90.0,2021-02-07 13:00:00
148,146.0,90.0,2021-02-07 13:15:00
149,139.0,88.0,2021-02-07 13:30:00
150,140.0,88.0,2021-02-07 13:45:00
151,105.0,85.0,2021-02-07 14:00:00
152,124.0,85.0,2021-02-07 14:15:00
153,149.0,86.0,2021-02-07 14:30:00
154,146.0,79.0,2021-02-07 14:45:00
155,128.0,82.0,2021-02-07 15:00:00
156,130.0,77.0,2021-02-07 15:15:00
157,102.0,85.0,2021-02-07 15:30:00
158,120.0,86.0,2021-02-07 15:45:00
159,103.0,84.0,2021-02-07 16:00:00
160,100.0,86.0,2021-02-07 16:15:00
161,79.0,89.0,2021-02-07 16:30:00
162,117.0,90.0,2021-02-07 16:45:00
163,104.0,86.0,2021-02-07 17:00:00
164,89.0,81.0,2021-02-07 17:15:00
165,82.0,81.0,2021-02-07 17:30:00
166,69.0,82.0,2021-02-07 17:45:00
167,64.0,83.0,2021-02-07 18:00:00
168,63.0,85.0,2021-02-07 18:15:00
169,64.0,85.0,2021-02-07 18:30:00
170,62.0,82.0,2021-02-07 18:45:00
171,61.0,82.0,2021-02-07 19:00:00
172,57.0,80.0,2021-02-07 19:15:00
173,55.0,79.0,2021-02-07 19:30:00
174,58.0,79.0,2021-02-07 19:45:00
175,78.0,80.0,2021-02-07 20:00:00
176,68.0,82.0,2021-02-07 20:15:00
177,61.0,79.0,2021-02-07 20:30:00
178,51.0,79.0,2021-02-07 20:45:00
179,62.0,81.0,2021-02-07 21:00:00
180,60.0,82.0,2021-02-07 21:15:00
181,56.0,84.0,2021-02-07 21:30:00
182,60.0,83.0,2021-02-07 21:45:00
183,52.0,81.0,2021-02-07 22:00:00
184,47.0,78.0,2021-02-07 22:15:00
185,46.0,78.0,2021-02-07 22:30:00
186,55.0,83.0,2021-02-07 22:45:00
187,60.0,78.0,2021-02-07 23:00:00
188,42.0,81.0,2021-02-07 23:15:00
189,29.0,81.0,2021-02-07 23:30:00
190,28.0,81.0,2021-02-07 23:45:00
191,42.0,83.0,2021-02-08 00:00:00
192,52.0,81.0,2021-02-08 00:15:00
193,43.0,82.0,2021-02-08 00:30:00
194,40.0,82.0,2021-02-08 00:45:00
195,39.0,80.0,2021-02-08 01:00:00
196,24.0,82.0,2021-02-08 01:15:00
197,40.0,86.0,2021-02-08 01:30:00
198,41.0,86.0,2021-02-08 01:45:00
199,28.0,83.0,2021-02-08 02:00:00
200,20.0,80.0,2021-02-08 02:15:00
201,35.0,81.0,2021-02-08 02:30:00
202,30.0,83.0,2021-02-08 02:45:00
203,21.0,84.0,2021-02-08 03:00:00
204,25.0,78.0,2021-02-08 03:15:00
205,26.0,81.0,2021-02-08 03:30:00
206,21.0,84.0,2021-02-08 03:45:00
207,29.0,87.0,2021-02-08 04:00:00
208,28.0,80.0,2021-02-08 04:15:00
209,32.0,80.0,2021-02-08 04:30:00
210,24.0,80.0,2021-02-08 04:45:00
211,27.0,84.0,2021-02-08 05:00:00
212,34.0,80.0,2021-02-08 05:15:00
213,40.0,78.0,2021-02-08 05:30:00
214,30.0,81.0,2021-02-08 05:45:00
215,30.0,79.0,2021-02-08 06:00:00
216,39.0,84.0,2021-02-08 06:15:00
217,44.0,83.0,2021-02-08 06:30:00
218,55.0,79.0,2021-02-08 06:45:00
219,65.0,83.0,2021-02-08 07:00:00
220,72.0,81.0,2021-02-08 07:15:00
221,59.0,84.0,2021-02-08 07:30:00
222,78.0,82.0,2021-02-08 07:45:00
223,86.0,83.0,2021-02-08 08:00:00
224,101.0,80.0,2021-02-08 08:15:00
225,104.0,87.0,2021-02-08 08:30:00
226,103.0,84.0,2021-02-08 08:45:00
227,82.0,85.0,2021-02-08 09:00:00
228,95.0,84.0,2021-02-08 09:15:00
229,88.0,86.0,2021-02-08 09:30:00
230,114.0,85.0,2021-02-08 09:45:00
231,92.0,87.0,2021-02-08 10:00:00
232,91.0,87.0,2021-02-08 10:15:00
233,103.0,88.0,2021-02-08 10:30:00
234,125.0,89.0,2021-02-08 10:45:00
235,102.0,87.0,2021-02-08 11:00:00
236,118.0,91.0,2021-02-08 11:15:00
237,105.0,90.0,2021-02-08 11:30:00
238,122.0,87.0,2021-02-08 11:45:00
239,156.0,88.0,2021-02-08 12:00:00
240,136.0,87.0,2021-02-08 12:15:00
241,147.0,87.0,2021-02-08 12:30:00
242,146.0,87.0,2021-02-08 12:45:00
243,158.0,89.0,2021-02-08 13:00:00
244,141.0,86.0,2021-02-08 13:15:00
245,163.0,79.0,2021-02-08 13:30:00
246,166.0,82.0,2021-02-08 13:45:00
247,171.0,81.0,2021-02-08 14:00:00
248,117.0,88.0,2021-02-08 14:15:00
249,137.0,86.0,2021-02-08 14:30:00
250,165.0,88.0,2021-02-08 14:45:00
251,142.0,87.0,2021-02-08 15:00:00
252,112.0,86.0,2021-02-08 15:15:00
253,99.0,86.0,2021-02-08 15:30:00
254,115.0,89.0,2021-02-08 15:45:00
255,132.0,89.0,2021-02-08 16:00:00
256,125.0,85.0,2021-02-08 16:15:00
257,110.0,86.0,2021-02-08 16:30:00
258,90.0,86.0,2021-02-08 16:45:00
259,101.0,85.0,2021-02-08 17:00:00
260,99.0,85.0,2021-02-08 17:15:00
261,78.0,83.0,2021-02-08 17:30:00
262,84.0,80.0,2021-02-08 17:45:00
263,102.0,83.0,2021-02-08 18:00:00
264,77.0,81.0,2021-02-08 18:15:00
265,80.0,82.0,2021-02-08 18:30:00
266,62.0,79.0,2021-02-08 18:45:00
267,78.0,82.0,2021-02-08 19:00:00
268,67.0,84.0,2021-02-08 19:15:00
269,64.0,83.0,2021-02-08 19:30:00
270,70.0,83.0,2021-02-08 19:45:00
271,89.0,82.0,2021-02-08 20:00:00
272,70.0,78.0,2021-02-08 20:15:00
273,61.0,82.0,2021-02-08 20:30:00
274,69.0,83.0,2021-02-08 20:45:00
275,69.0,84.0,2021-02-08 21:00:00
276,52.0,76.0,2021-02-08 21:15:00
277,73.0,79.0,2021-02-08 21:30:00
278,41.0,75.0,2021-02-08 21:45:00
279,59.0,79.0,2021-02-08 22:00:00
280,81.0,81.0,2021-02-08 22:15:00
281,56.0,80.0,2021-02-08 22:30:00
282,49.0,82.0,2021-02-08 22:45:00
283,22.0,83.0,2021-02-08 23:00:00
284,39.0,91.0,2021-02-08 23:15:00
285,43.0,86.0,2021-02-08 23:30:00
286,32.0,88.0,2021-02-08 23:45:00
287,45.0,86.0,2021-02-09 00:00:00
288,44.0,86.0,2021-02-09 00:15:00
289,43.0,87.0,2021-02-09 00:30:00
290,48.0,85.0,2021-02-09 00:45:00
291,31.0,83.0,2021-02-09 01:00:00
292,33.0,86.0,2021-02-09 01:15:00
293,33.0,84.0,2021-02-09 01:30:00
294,21.0,86.0,2021-02-09 01:45:00
295,17.0,87.0,2021-02-09 02:00:00
296,20.0,82.0,2021-02-09 02:15:00
297,24.0,84.0,2021-02-09 02:30:00
298,23.0,82.0,2021-02-09 02:45:00
299,22.0,84.0,2021-02-09 03:00:00
300,24.0,80.0,2021-02-09 03:15:00
301,24.0,85.0,2021-02-09 03:30:00
302,18.0,88.0,2021-02-09 03:45:00
303,21.0,88.0,2021-02-09 04:00:00
304,35.0,89.0,2021-02-09 04:15:00
305,18.0,87.0,2021-02-09 04:30:00
306,23.0,85.0,2021-02-09 04:45:00
307,34.0,82.0,2021-02-09 05:00:00
308,28.0,86.0,2021-02-09 05:15:00
309,34.0,84.0,2021-02-09 05:30:00
310,34.0,83.0,2021-02-09 05:45:00
311,43.0,82.0,2021-02-09 06:00:00
312,67.0,83.0,2021-02-09 06:15:00
313,52.0,80.0,2021-02-09 06:30:00
314,41.0,82.0,2021-02-09 06:45:00
315,44.0,87.0,2021-02-09 07:00:00
316,51.0,83.0,2021-02-09 07:15:00
317,54.0,86.0,2021-02-09 07:30:00
318,36.0,83.0,2021-02-09 07:45:00
319,67.0,87.0,2021-02-09 08:00:00
320,69.0,85.0,2021-02-09 08:15:00
321,71.0,86.0,2021-02-09 08:30:00
322,96.0,86.0,2021-02-09 08:45:00
323,90.0,88.0,2021-02-09 09:00:00
324,89.0,87.0,2021-02-09 09:15:00
325,99.0,86.0,2021-02-09 09:30:00
326,97.0,85.0,2021-02-09 09:45:00
327,133.0,87.0,2021-02-09 10:00:00
328,115.0,87.0,2021-02-09 10:15:00
329,125.0,88.0,2021-02-09 10:30:00
330,124.0,87.0,2021-02-09 10:45:00
331,103.0,92.0,2021-02-09 11:00:00
332,137.0,94.0,2021-02-09 11:15:00
333,127.0,92.0,2021-02-09 11:30:00
334,132.0,93.0,2021-02-09 11:45:00
